learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
2,8,4,0,0.201,0.881,1,0.006896973,0.867462158,0.9090271,2,0.417821999
2,8,4,1,0.201,0.881,1,0.006896973,0.867462158,0.9090271,2,0.411382104
2,8,4,2,0.201,0.881,1,0.006896973,0.867462158,0.9090271,2,0.497566266
2,8,4,3,0.201,0.881,1,0.006896973,0.867462158,0.9090271,2,0.47433793
2,8,4,4,0.201,0.881,1,0.006896973,0.867462158,0.9090271,2,0.401174377
2,8,4,5,0.201,0.881,1,0.006896973,0.867462158,0.9090271,2,0.509160027
2,8,4,6,0.201,0.881,1,0.006896973,0.867462158,0.9090271,2,0.392190615
2,8,4,7,0.201,0.881,1,0.006896973,0.867462158,0.9090271,2,0.522607857
2,8,4,8,0.201,0.881,1,0.006896973,0.867462158,0.9090271,2,0.506387461
2,8,4,9,0.201,0.881,1,0.006896973,0.867462158,0.9090271,2,0.407710867
3,10,0,0,0.215,0.875,1,0.147766113,0.334533691,0.682281494,1,0.275929212
3,10,0,1,0.215,0.875,1,0.147766113,0.334533691,0.682281494,1,0.266270028
3,10,0,2,0.215,0.875,1,0.147766113,0.334533691,0.682281494,1,0.30090159
3,10,0,3,0.215,0.875,1,0.147766113,0.334533691,0.682281494,1,0.347531574
3,10,0,4,0.215,0.875,1,0.147766113,0.334533691,0.682281494,1,0.260903107
3,10,0,5,0.215,0.875,1,0.147766113,0.334533691,0.682281494,1,0.447388344
3,10,0,6,0.215,0.875,1,0.147766113,0.334533691,0.682281494,1,0.240699597
3,10,0,7,0.215,0.875,1,0.147766113,0.334533691,0.682281494,1,0.346015844
3,10,0,8,0.215,0.875,1,0.147766113,0.334533691,0.682281494,1,0.408251364
3,10,0,9,0.215,0.875,1,0.147766113,0.334533691,0.682281494,1,0.299693882
3,10,2,0,0.215,0.875,1,0.034393311,0.369628906,0.273040771,3,0.484895737
3,10,2,1,0.215,0.875,1,0.034393311,0.369628906,0.273040771,3,0.566497702
3,10,2,2,0.215,0.875,1,0.034393311,0.369628906,0.273040771,3,0.488513131
3,10,2,3,0.215,0.875,1,0.034393311,0.369628906,0.273040771,3,0.56551127
3,10,2,4,0.215,0.875,1,0.034393311,0.369628906,0.273040771,3,0.59249224
3,10,2,5,0.215,0.875,1,0.034393311,0.369628906,0.273040771,3,0.5338704
3,10,2,6,0.215,0.875,1,0.034393311,0.369628906,0.273040771,3,0.529333166
3,10,2,7,0.215,0.875,1,0.034393311,0.369628906,0.273040771,3,0.598421498
3,10,2,8,0.215,0.875,1,0.034393311,0.369628906,0.273040771,3,0.500999973
3,10,2,9,0.215,0.875,1,0.034393311,0.369628906,0.273040771,3,0.577432328
3,10,5,0,0.215,0.875,1,0.157806396,0.833709717,0.055419922,4,0.738809453
3,10,5,1,0.215,0.875,1,0.157806396,0.833709717,0.055419922,4,0.616121843
3,10,5,2,0.215,0.875,1,0.157806396,0.833709717,0.055419922,4,0.55280745
3,10,5,3,0.215,0.875,1,0.157806396,0.833709717,0.055419922,4,0.61397796
3,10,5,4,0.215,0.875,1,0.157806396,0.833709717,0.055419922,4,0.790876774
3,10,5,5,0.215,0.875,1,0.157806396,0.833709717,0.055419922,4,0.737134094
3,10,5,6,0.215,0.875,1,0.157806396,0.833709717,0.055419922,4,0.730887494
3,10,5,7,0.215,0.875,1,0.157806396,0.833709717,0.055419922,4,0.779334631
3,10,5,8,0.215,0.875,1,0.157806396,0.833709717,0.055419922,4,0.745230923
3,10,5,9,0.215,0.875,1,0.157806396,0.833709717,0.055419922,4,0.734164544
4,13,3,0,0.229,0.865,1,0.083496094,0.074768066,0.982391357,4,0.667750754
4,13,3,1,0.229,0.865,1,0.083496094,0.074768066,0.982391357,4,0.793924026
4,13,3,2,0.229,0.865,1,0.083496094,0.074768066,0.982391357,4,0.770078728
